,features,coef
347,ECONOMIC_Computer..communications.and.other.services....of.commercial.service.imports..y.1,29.38256832
348,ECONOMIC_Commercial.service.imports..current.US...y.1,608103312.9
349,ECONOMIC_Insurance.and.financial.services....of.commercial.service.exports..y.1,1794687818
350,ECONOMIC_Merchandise.exports.to.high.income.economies....of.total.merchandise.exports..y.1,4412330547
351,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.East.Asia...Pacific....of.total.merchandise.exports..y.1,14690029269
352,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Europe...Central.Asia....of.total.merchandise.exports..y.1,1.14023E+11
353,ECONOMIC_Merchandise.exports.to.low..and.middle.income.economies.in.Sub.Saharan.Africa....of.total.merchandise.exports..y.1,2654641031
354,ECONOMIC_Merchandise.exports.by.the.reporting.economy..residual....of.total.merchandise.exports..y.1,1.560099333
355,ECONOMIC_Merchandise.exports.by.the.reporting.economy..current.US...y.1,636427108.3
356,ECONOMIC_Computer..communications.and.other.services....of.commercial.service.exports..y.1,19.00406757
357,ECONOMIC_Commercial.service.exports..current.US...y.1,867845214
358,ECONOMIC_Military.expenditure..current.LCU..y,6198240355
359,ECONOMIC_Fertilizer.consumption..kilograms.per.hectare.of.arable.land..y,2032242.815
360,ECONOMIC_Agricultural.land..sq..km..y,14.00536764
361,ECONOMIC_Arable.land..hectares..y,4.76455E+11
362,ECONOMIC_Arable.land..hectares.per.person..y,10979315682
363,ECONOMIC_Land.under.cereal.production..hectares..y,6.18537E+11
364,ECONOMIC_Land.area..sq..km..y,4504.705337
365,ECONOMIC_Cereal.production..metric.tons..y,665728781
366,ECONOMIC_Crop.production.index..2014.2016...100..y,154854937.3
367,ECONOMIC_Food.production.index..2014.2016...100..y,61513880.81
368,ECONOMIC_Surface.area..sq..km..y,168200473.4
369,ECONOMIC_Rural.population.y,201255898.9
370,ECONOMIC_Rural.population.growth..annual....y,17756722087
371,ECONOMIC_Rural.population....of.total.population..y,626032078.6
372,SOCIAL_Adolescent.fertility.rate..births.per.1.000.women.ages.15.19..x,1.47306E+11
373,SOCIAL_Population.in.largest.city,85581108260
374,SOCIAL_Population.in.the.largest.city....of.urban.population.,238516.5242
375,SOCIAL_Population.in.urban.agglomerations.of.more.than.1.million....of.total.population..x,1.04347E+11
376,SOCIAL_Urban.population.growth..annual....x,72991.3159
377,SOCIAL_School.age.population..pre.primary.education..male..number.,695394.3545
378,SOCIAL_School.age.population..last.grade.of.primary.education..female..number.,32965.32736
379,SOCIAL_School.age.population..primary.education..female..number.,881.9033662
380,SOCIAL_School.age.population..primary.education..both.sexes..number.,1725.756847
381,SOCIAL_School.age.population..primary.education..male..number.,375006.3025
382,SOCIAL_School.age.population..lower.secondary.education..female..number.,4032.947023
383,SOCIAL_School.age.population..lower.secondary.education..both.sexes..number.,7953.803461
384,SOCIAL_School.age.population..secondary.education..female..number.,1528.835065
385,SOCIAL_School.age.population..secondary.education..both.sexes..number.,3027.043733
386,SOCIAL_School.age.population..upper.secondary.education..female..number.,2298.249424
387,SOCIAL_School.age.population..upper.secondary.education..both.sexes..number.,4561.345482
388,SOCIAL_School.age.population..tertiary.education..female..number.,1104.007952
389,SOCIAL_School.age.population..tertiary.education..both.sexes..number.,2221.723728
390,SOCIAL_Population.of.the.official.entrance.age.to.primary.education..female..number.,6494.587697
391,SOCIAL_Population.ages.0.14....of.total.population..x,99305659531
392,SOCIAL_Number.of.infant.deaths..male.x,949475.2356
393,SOCIAL_Number.of.under.five.deaths..male.x,2368801321
394,SOCIAL_Women.Business.and.the.Law.Index.Score..scale.1.100.,1726673213
395,SOCIAL_Adolescent.fertility.rate..births.per.1.000.women.ages.15.19..y,630064522.2
396,SOCIAL_Mortality.rate..adult..male..per.1.000.male.adults..x,13014078225
397,SOCIAL_Fertility.rate..total..births.per.woman..x,1613486459
398,SOCIAL_Survival.to.age.65..female....of.cohort..x,1867194943
399,SOCIAL_Age.population..age.00..female..interpolated,73032.98672
400,SOCIAL_Age.population..age.01..female..interpolated,9091.997274
401,SOCIAL_Age.population..age.03..male..interpolated,62549.78038
402,SOCIAL_Age.population..age.04..male..interpolated,132229.8124
403,SOCIAL_Age.population..age.05..male..interpolated,6782339.97
404,SOCIAL_Number.of.under.five.deaths,10772508.61
405,SOCIAL_Number.of.neonatal.deaths,815691631.6
406,SOCIAL_Mortality.rate..under.5..per.1.000.live.births..x,47483970.88
407,SOCIAL_Mortality.rate..under.5..male..per.1.000.live.births.,5536575535
408,SOCIAL_Birth.rate..crude..per.1.000.people.,7388417365
409,SOCIAL_Mortality.rate..infant..male..per.1.000.live.births.,3922925013
410,SOCIAL_Fertility.rate..total..births.per.woman..y,3343814184
411,SOCIAL_Survival.to.age.65..female....of.cohort..y,2498152156
412,SOCIAL_Population.ages.05.09..male....of.male.population.,2.82385E+11
413,SOCIAL_Population.ages.15.19..female....of.female.population.,13822640670
414,SOCIAL_Population.ages.15.64..female....of.female.population.,1023.846487
415,SOCIAL_Population.ages.15.64..male....of.male.population.,3242.142447
416,SOCIAL_Population.ages.15.64....of.total.population..y,2.16332E+11
417,SOCIAL_Population.ages.25.29..female....of.female.population.,6971949891
418,SOCIAL_Population.ages.30.34..female....of.female.population.,9890726763
419,SOCIAL_Population.ages.35.39..male....of.male.population.,2.95111E+11
420,SOCIAL_Population.ages.40.44..male....of.male.population.,1.15645E+12
421,SOCIAL_Population.ages.45.49..male....of.male.population.,1.81743E+11
422,SOCIAL_Population.ages.55.59..male....of.male.population.,4.68166E+11
423,SOCIAL_Population.ages.60.64..female....of.female.population.,60014081990
424,SOCIAL_Population.ages.60.64..male....of.male.population.,2.409E+11
425,SOCIAL_Population.ages.65.69..female....of.female.population.,3.54691E+11
426,SOCIAL_Population.ages.65.69..male....of.male.population.,1671269.81
427,SOCIAL_Population.ages.65.and.above..female,94881475493
428,SOCIAL_Population.ages.65.and.above..female....of.female.population.,2356475.904
429,SOCIAL_Population.ages.65.and.above..male,5.88151E+11
430,SOCIAL_Population.ages.65.and.above..male....of.male.population.,977641.6707
431,SOCIAL_Population.ages.65.and.above..total,1.98122E+11
432,SOCIAL_Population.ages.70.74..female....of.female.population.,1.07431E+12
433,SOCIAL_Population.ages.75.79..female....of.female.population.,2.04362E+12
434,SOCIAL_Population.ages.75.79..male....of.male.population.,1.35395E+12
435,SOCIAL_Population.ages.80.and.above..female....of.female.population.,5.70149E+11
436,SOCIAL_Age.dependency.ratio..old....of.working.age.population.,7396938217
437,SOCIAL_Age.dependency.ratio..young....of.working.age.population.,60714081151
438,SOCIAL_Population.growth..annual....x,6098.625148
439,SOCIAL_Population..female,1.47755E+11
440,SOCIAL_Population..male....of.total.population.,54752633.26
441,SOCIAL_Number.of.infant.deaths..male.y,3478680.401
442,SOCIAL_Number.of.under.five.deaths..male.y,7237535.059
443,SOCIAL_Air.transport..freight..million.ton.km.,137679.2268
444,SOCIAL_Fixed.telephone.subscriptions,3.11153E+11
445,SOCIAL_Cereal.yield..kg.per.hectare.,10026237173
446,SOCIAL_CO2.emissions.from.gaseous.fuel.consumption....of.total.,21882059.34
447,SOCIAL_CO2.emissions.from.solid.fuel.consumption..kt.,13916284049
448,SOCIAL_CO2.emissions.from.solid.fuel.consumption....of.total.,71510072.24
449,SOCIAL_Other.greenhouse.gas.emissions..HFC..PFC.and.SF6..thousand.metric.tons.of.CO2.equivalent.,96519772792
450,SOCIAL_Population.growth..annual....y,403.9499245
451,SOCIAL_Urban.population.y,3239645909
